Bait	Bait Mutation Status and/or Drug Condition	Prey	AvePSM	Z	WD	Entropy	Prey Gene Name	
BAF60A	WT_Eto	P51531	3	Inf	NA	1.541007871	SMARCA2	
BAF60A	WT_Eto	Q9NZM4	3	Inf	NA	1.541007871	GLTSCR1	
BRCA1	5382insC	P38398	55.66666667	Inf	NA	1.58460363	BRCA1	
BRCA1	5382insC	O14578	12	1.538434823	1.8653306	1.581797534	CIT	
BRCA1	5382insC	Q5T4S7	9.333333333	2.869282263	2.621864744	1.577925381	UBR4	
BRCA1	5382insC	Q15643	9	2.646496572	7.095289805	1.437658547	TRIP11	
BRCA1	5382insC	Q99728	7.666666667	Inf	NA	1.553283279	BARD1	
BRCA1	5382insC	O95071	7.333333333	2.030284993	3.236039324	1.566146831	UBR5	
BRCA1	5382insC	P41252	7.333333333	1.749504047	1.586622279	1.459977	IARS	
BRCA1	5382insC	P50416	6	1.782297851	1.557921179	1.546561811	CPT1A	
BRCA1	5382insC	Q86VI3	5.666666667	2.452423345	1.536608054	1.567711658	IQGAP3	
BRCA1	5382insC	Q9UJX2	4.666666667	2.264766576	2.966293592	1.578392733	CDC23	
BRCA1	5382insC	Q9UBS4	4.333333333	3.483336309	1.634543744	1.534326469	DNAJB11	
BRCA1	5382insC	P49366	4	2.762408779	4.598622914	1.584962501	DHPS	
BRCA1	5382insC	O15084	4	3.676197394	3.163391067	1.559120237	ANKRD28	
BRCA1	5382insC	Q08378	3.666666667	2.244815748	5.528704718	1.459330886	GOLGA3	
BRCA1	5382insC	Q6Y7W6	3.666666667	1.926239578	3.231378093	1.546631615	GIGYF2	
BRCA1	5382insC	P49589	3.666666667	3.951237732	2.219983879	1.459330886	CARS	
BRCA1	5382insC	P49790	3.666666667	3.951237732	2.219983879	1.546631615	NUP153	
BRCA1	5382insC	Q15007	3.666666667	2.13243821	2.089189412	1.574627401	WTAP	
BRCA1	5382insC	O60488	3.666666667	3.662295749	2.018331311	1.510002757	ACSL4	
BRCA1	5382insC	A6NHR9	3.666666667	2.416761857	1.729344654	1.546631615	SMCHD1	
BRCA1	5382insC	O75822	3.333333333	3.090538592	2.685505699	1.573355385	EIF3J	
BRCA1	5382insC	P49023	3.333333333	1.917490198	1.956837504	1.502855774	PXN	
BRCA1	5382insC	O43237	3	2.870789079	7.330661595	1.541007871	DYNC1LI2	
BRCA1	5382insC	Q96RT1	3	2.482839218	5.367893164	1.541007871	ERBB2IP	
BRCA1	5382insC	Q1KMD3	3	1.78971919	2.080176621	1.541007871	HNRNPUL2	
BRCA1	5382insC	Q9UBB9	3	1.438917506	1.836651251	1.541007871	TFIP11	
BRCA1	5382insC	O75962	3	4.06838597	1.621138879	1.170033384	TRIO	
BRCA1	5382insC	Q03001	2.666666667	6.402539998	10.36195877	1.517528789	DST	
BRCA1	5382insC	P51649	2.666666667	1.67826721	4.951997753	1.566367267	ALDH5A1	
BRCA1	5382insC	O60216	2.666666667	4.830229116	3.316160152	1.566367267	RAD21	
BRCA1	5382insC	Q6IAN0	2.666666667	3.877865817	2.800115357	1.566367267	DHRS7B	
BRCA1	5382insC	Q5SW79	2.666666667	2.74186148	2.620959458	1.517528789	CEP170	
BRCA1	5382insC	Q92922	2.666666667	2.469974484	2.322778445	1.566367267	SMARCC1	
BRCA1	5382insC	Q9Y263	2.666666667	2.620973899	2.27854454	1.360388078	PLAA	
BRCA1	5382insC	Q15042	2.666666667	1.977864165	2.035653862	1.517528789	RAB3GAP1	
BRCA1	5382insC	P50552	2.666666667	3.687119495	1.680729216	1.566367267	VASP	
BRCA1	5382insC	Q9NZB2	2.333333333	2.15425034	8.004389317	1.56320209	FAM120A	
BRCA1	5382insC	Q8TCG1	2.333333333	3.7166653	6.9073556	1.428412468	KIAA1524	
BRCA1	5382insC	Q2M389	2.333333333	2.11328495	3.460068214	1.56320209	KIAA1033	
BRCA1	5382insC	Q96T51	2.333333333	2.528000324	2.416941559	1.56320209	RUFY1	
BRCA1	5382insC	Q9UKV8	2.333333333	2.600184443	1.960959322	1.56320209	EIF2C2	
BRCA1	5382insC	P23526	2.333333333	2.68245291	1.634867256	1.428412468	AHCY	
BRCA1	5382insC	O95239	2.333333333	1.772982209	1.549963064	1.56320209	KIF4A	
BRCA1	5382insC	Q6P1J9	2.333333333	2.104577195	1.514439696	1.56320209	CDC73	
BRCA1	5382insC	Q9NYK5	2	3.243651738	22.89304704	1.584962501	MRPL39	
BRCA1	5382insC	Q96AY4	2	2.650162246	7.874166185	1.493709546	TTC28	
BRCA1	5382insC	O14734	2	4.027222902	6.578370159	1.584962501	ACOT8	
BRCA1	5382insC	Q9HD33	2	1.571673258	5.504064475	1.584962501	MRPL47	
BRCA1	5382insC	Q00765	2	2.535684848	2.185854176	1.493709546	REEP5	
BRCA1	5382insC	Q969G3	2	1.717559206	2.102558672	1.493709546	SMARCE1	
BRCA1	5382insC	O95394	2	2.000491502	1.974230265	1.584962501	PGM3	
BRCA1	5382insC	P63165	2	3.104297217	1.715399123	1.493709546	SUMO1	
BRCA1	5382insC	Q9Y3T9	2	1.648946874	1.537216171	1.339664264	NOC2L	
BRCA1	5382insC_eto	P38398	42.66666667	Inf	NA	1.565865807	BRCA1	
BRCA1	5382insC_eto	P49792	24.66666667	2.539189573	1.557658526	1.580049053	RANBP2	
BRCA1	5382insC_eto	O14578	16	2.26149919	2.153898248	1.560655082	CIT	
BRCA1	5382insC_eto	Q15643	11.66666667	3.547839608	8.078342812	1.577045058	TRIP11	
BRCA1	5382insC_eto	O95071	9.333333333	2.717608364	3.65074472	1.573103505	UBR5	
BRCA1	5382insC_eto	Q5T4S7	9.333333333	2.869282263	2.621864744	1.49515948	UBR4	
BRCA1	5382insC_eto	P41252	7.333333333	1.749504047	1.586622279	1.573692105	IARS	
BRCA1	5382insC_eto	Q9Y4B6	6.666666667	2.671083532	1.953990472	1.572237856	VPRBP	
BRCA1	5382insC_eto	Q9UKA4	6.333333333	2.56041362	1.600486147	1.560106804	AKAP11	
BRCA1	5382insC_eto	Q9UJX2	6	3.074226873	3.363460783	1.53617521	CDC23	
BRCA1	5382insC_eto	Q9UBB9	6	3.428009354	2.597417108	1.572923025	TFIP11	
BRCA1	5382insC_eto	Q6Y7W6	4.666666667	2.600184443	3.645486142	1.578392733	GIGYF2	
BRCA1	5382insC_eto	Q15654	4.333333333	3.000506272	1.518000109	1.553763114	TRIP6	
BRCA1	5382insC_eto	P49366	4	2.762408779	4.598622914	1.559120237	DHPS	
BRCA1	5382insC_eto	O60488	4	4.051725388	2.108078301	1.584962501	ACSL4	
BRCA1	5382insC_eto	A6NHR9	4	2.686566625	1.806241582	1.559120237	SMCHD1	
BRCA1	5382insC_eto	Q99728	3.666666667	Inf	NA	1.546631615	BARD1	
BRCA1	5382insC_eto	O15084	3.666666667	3.333377399	3.02871636	1.574627401	ANKRD28	
BRCA1	5382insC_eto	P22061	3.666666667	6.022301574	2.589490889	1.574627401	PCMT1	
BRCA1	5382insC_eto	O95239	3.666666667	3.150340288	1.942981527	1.574627401	KIF4A	
BRCA1	5382insC_eto	Q96RT1	3.333333333	2.799081612	5.658256211	1.502855774	ERBB2IP	
BRCA1	5382insC_eto	P51649	3.333333333	2.213037101	5.536501801	1.573355385	ALDH5A1	
BRCA1	5382insC_eto	Q92922	3.333333333	3.226253316	2.59694525	1.573355385	SMARCC1	
BRCA1	5382insC_eto	P49023	3.333333333	1.917490198	1.956837504	1.502855774	PXN	
BRCA1	5382insC_eto	Q13330	3.333333333	1.893395468	1.866869934	1.573355385	MTA1	
BRCA1	5382insC_eto	Q6P1J9	3.333333333	3.272866111	1.810101651	1.502855774	CDC73	
BRCA1	5382insC_eto	P51398	3	2.540152612	4.661719809	1.541007871	DAP3	
BRCA1	5382insC_eto	Q2NKX8	3	4.277841545	4.352808452	1.541007871	ERCC6L	
BRCA1	5382insC_eto	Q2M389	3	2.85175627	3.923348577	1.463458299	KIAA1033	
BRCA1	5382insC_eto	Q1KMD3	3	1.78971919	2.080176621	1.584962501	HNRNPUL2	
BRCA1	5382insC_eto	O00267	3	2.553980238	2.026359145	1.584962501	SUPT5H	
BRCA1	5382insC_eto	P49589	3	3.122183387	2.008050973	1.541007871	CARS	
BRCA1	5382insC_eto	O95163	3	2.824961618	1.527101034	1.433176173	IKBKAP	
BRCA1	5382insC_eto	Q8TCG1	2.666666667	4.295086721	7.384273744	1.566367267	KIAA1524	
BRCA1	5382insC_eto	Q08378	2.666666667	1.528709367	4.714895226	1.517528789	GOLGA3	
BRCA1	5382insC_eto	Q9UKV8	2.666666667	3.049481019	2.096353695	1.446554269	EIF2C2	
BRCA1	5382insC_eto	A1L0T0	2.666666667	2.899109092	1.941974308	1.566367267	ILVBL	
BRCA1	5382insC_eto	P40692	2.666666667	3.541399513	1.806032388	1.360388078	MLH1	
BRCA1	5382insC_eto	Q9BZF1	2.666666667	2.433300272	1.534675707	1.566367267	OSBPL8	
BRCA1	5382insC_eto	O43237	2.333333333	2.145374634	6.465035842	1.56320209	DYNC1LI2	
BRCA1	5382insC_eto	Q9Y5B6	2.333333333	1.581242998	4.147037692	1.56320209	GCFC1	
BRCA1	5382insC_eto	Q00765	2.333333333	3.038542181	2.360992353	1.56320209	REEP5	
BRCA1	5382insC_eto	O75822	2.333333333	2.035415247	2.24685527	1.56320209	EIF3J	
BRCA1	5382insC_eto	Q09161	2.333333333	2.751861127	2.116544895	1.56320209	NCBP1	
BRCA1	5382insC_eto	P82650	2.333333333	1.540397632	1.913941467	1.483355755	MRPS22	
BRCA1	5382insC_eto	P46939	2.333333333	2.92846805	1.776404155	1.428412468	UTRN	
BRCA1	5382insC_eto	Q96EY1	2.333333333	3.392732246	1.774699985	1.56320209	DNAJA3	
BRCA1	5382insC_eto	Q9BXF6	2.333333333	3.392732246	1.587990575	1.483355755	RAB11FIP5	
BRCA1	5382insC_eto	Q8NFQ8	2.333333333	2.067698509	1.586575357	1.56320209	TOR1AIP2	
BRCA1	5382insC_eto	P78318	2.333333333	1.833370351	1.582663685	1.56320209	IGBP1	
BRCA1	5382insC_eto	Q9NYK5	2	3.243651738	22.89304704	1.493709546	MRPL39	
BRCA1	5382insC_eto	Q96JJ3	2	3.36632946	11.05905157	1.493709546	ELMO2	
BRCA1	5382insC_eto	Q96A65	2	2.659187206	10.97049983	1.493709546	EXOC4	
BRCA1	5382insC_eto	Q9UJX5	2	3.058934302	8.57810813	0.881290899	ANAPC4	
BRCA1	5382insC_eto	Q96AY4	2	2.650162246	7.874166185	1.584962501	TTC28	
BRCA1	5382insC_eto	Q9BZK7	2	2.592459722	4.39007702	1.584962501	TBL1XR1	
BRCA1	5382insC_eto	Q9NQS1	2	3.104297217	3.350388913	1.493709546	AVEN	
BRCA1	5382insC_eto	P30530	2	2.106436306	3.141142968	1.584962501	AXL	
BRCA1	5382insC_eto	Q63HN8	2	1.821114307	3.063288524	1.339664264	RNF213	
BRCA1	5382insC_eto	Q03001	2	4.721426144	2.778807548	1.22857638	DST	
BRCA1	5382insC_eto	Q8N7H5	2	2.370127214	2.631798989	1.584962501	PAF1	
BRCA1	5382insC_eto	Q5SW79	2	1.933914837	2.269817473	1.493709546	CEP170	
BRCA1	5382insC_eto	Q96T51	2	2.081323575	2.237653075	1.493709546	RUFY1	
BRCA1	5382insC_eto	Q969G3	2	1.717559206	2.102558672	1.493709546	SMARCE1	
BRCA1	5382insC_eto	Q9Y263	2	1.818460718	1.973277455	1.493709546	PLAA	
BRCA1	5382insC_eto	Q6YN16	2	1.738907319	1.938044815	1.584962501	HSDL2	
BRCA1	5382insC_eto	P23526	2	2.228944684	1.513592966	1.493709546	AHCY	
BRCA1	c61g	P38398	74.33333333	Inf	NA	1.584761646	BRCA1	
BRCA1	c61g	P49792	24	2.448504231	1.536464906	1.571908521	RANBP2	
BRCA1	c61g	O14578	15.33333333	2.140988462	2.108547942	1.560852613	CIT	
BRCA1	c61g	Q9BX63	14	Inf	NA	1.577758461	BRIP1	
BRCA1	c61g	O95071	10.33333333	3.06127005	3.841344851	1.583567627	UBR5	
BRCA1	c61g	P40692	10	14.60426083	3.497366682	1.57094507	MLH1	
BRCA1	c61g	Q5T4S7	10	3.117865242	2.713887841	1.551728631	UBR4	
BRCA1	c61g	P41252	10	2.653094049	1.852775654	1.580451714	IARS	
BRCA1	c61g	Q15643	8.333333333	2.421160814	6.827445799	1.521711284	TRIP11	
BRCA1	c61g	P50416	6.666666667	2.073158958	1.642193114	1.572237856	CPT1A	
BRCA1	c61g	Q86VI3	6.333333333	2.824843046	1.624484025	1.581411577	IQGAP3	
BRCA1	c61g	Q9H4L5	6	2.584534705	1.738667351	1.546561811	OSBPL3	
BRCA1	c61g	Q9UJX2	5.333333333	2.669496725	3.171101237	1.58006019	CDC23	
BRCA1	c61g	Q96RL1	5	Inf	NA	1.450179109	UIMC1	
BRCA1	c61g	Q9Y4B6	5	1.857994633	1.692205387	1.472016625	VPRBP	
BRCA1	c61g	P49366	4.666666667	3.296701835	4.967080446	1.578392733	DHPS	
BRCA1	c61g	P30260	4.666666667	3.353009459	1.7425295	1.560251865	CDC27	
BRCA1	c61g	P51649	4.333333333	3.015191937	6.312583294	1.577759502	ALDH5A1	
BRCA1	c61g	Q13042	4.333333333	2.544381635	3.033068432	1.577759502	CDC16	
BRCA1	c61g	O94915	4	1.776589097	2.582019888	1.559120237	FRYL	
BRCA1	c61g	Q6P1J9	4	4.051725388	1.982867012	1.478534948	CDC73	
BRCA1	c61g	O15084	3.666666667	3.333377399	3.02871636	1.510002757	ANKRD28	
BRCA1	c61g	Q1KMD3	3.666666667	2.308958708	2.299721783	1.510002757	HNRNPUL2	
BRCA1	c61g	Q9UBB9	3.666666667	1.880937917	2.030494357	1.546631615	TFIP11	
BRCA1	c61g	Q13330	3.666666667	2.135214998	1.957989705	1.546631615	MTA1	
BRCA1	c61g	Q6Y7W6	3.333333333	1.70159129	3.080998123	1.573355385	GIGYF2	
BRCA1	c61g	P49023	3.333333333	1.917490198	1.956837504	1.573355385	PXN	
BRCA1	c61g	A6NHR9	3.333333333	2.146957089	1.648865431	1.533396631	SMCHD1	
BRCA1	c61g	P82650	3	2.138733903	2.170205634	1.541007871	MRPS22	
BRCA1	c61g	Q15007	3	1.638720989	1.889742926	1.541007871	WTAP	
BRCA1	c61g	O95239	3	2.461661248	1.757492918	1.584962501	KIF4A	
BRCA1	c61g	Q6UWZ7	2.666666667	Inf	NA	1.566367267	FAM175A	
BRCA1	c61g	Q96FV9	2.666666667	3.650625102	11.45761247	1.517528789	THOC1	
BRCA1	c61g	Q96AY4	2.666666667	3.650625102	9.092303933	1.517528789	TTC28	
BRCA1	c61g	Q63HN8	2.666666667	2.581935395	3.537180908	1.517528789	RNF213	
BRCA1	c61g	Q5SW79	2.666666667	2.74186148	2.620959458	1.446554269	CEP170	
BRCA1	c61g	Q09161	2.666666667	3.22217921	2.262681669	1.566367267	NCBP1	
BRCA1	c61g	Q9UKV8	2.666666667	3.049481019	2.096353695	1.566367267	EIF2C2	
BRCA1	c61g	Q15042	2.666666667	1.977864165	2.035653862	1.360388078	RAB3GAP1	
BRCA1	c61g	P46736	2.333333333	Inf	NA	1.483355755	BRCC3	
BRCA1	c61g	Q9NWV8	2.333333333	7.145435986	9.920876966	1.483355755	BABAM1	
BRCA1	c61g	O60568	2.333333333	5.561983071	7.243768423	1.428412468	PLOD3	
BRCA1	c61g	Q96RT1	2.333333333	1.850354431	4.734036792	1.483355755	ERBB2IP	
BRCA1	c61g	Q06190	2.333333333	1.507314243	4.455846295	1.428412468	PPP2R3A	
BRCA1	c61g	Q92922	2.333333333	2.091835068	2.172760282	1.56320209	SMARCC1	
BRCA1	c61g	O60488	2.333333333	2.104577195	1.610071398	1.428412468	ACSL4	
BRCA1	c61g	P78318	2.333333333	1.833370351	1.582663685	1.428412468	IGBP1	
BRCA1	c61g	Q9UMZ2	2.333333333	1.629156911	1.533320544	1.483355755	SYNRG	
BRCA1	c61g	Q9NXR7	2	6.708238392	1541.704816	1.493709546	BRE	
BRCA1	c61g	Q86W42	2	5.049904925	13.66817545	1.493709546	THOC6	
BRCA1	c61g	Q8TCG1	2	3.138243879	6.394968651	1.584962501	KIAA1524	
BRCA1	c61g	O43237	2	1.782667412	5.985460128	1.584962501	DYNC1LI2	
BRCA1	c61g	Q9BZK7	2	2.592459722	4.39007702	1.493709546	TBL1XR1	
BRCA1	c61g	P51398	2	1.536899059	3.806278285	1.339664264	DAP3	
BRCA1	c61g	Q9BZG1	2	3.19260163	3.339636773	1.493709546	RAB34	
BRCA1	c61g	O60216	2	3.517970339	2.871878934	1.493709546	RAD21	
BRCA1	c61g	P51148	2	3.19260163	2.617144024	1.584962501	RAB5C	
BRCA1	c61g	O75822	2	1.683707465	2.08018377	1.493709546	EIF3J	
BRCA1	c61g	P49790	2	1.878601868	1.639566754	1.493709546	NUP153	
BRCA1	c61g	O00264	2	2.831258952	1.552622682	1.584962501	PGRMC1	
BRCA1	c61g_eto	P38398	64	Inf	NA	1.584154341	BRCA1	
BRCA1	c61g_eto	O14578	21.33333333	3.225585012	2.487107466	1.580455008	CIT	
BRCA1	c61g_eto	P41252	11.66666667	3.217837801	2.001226431	1.583838561	IARS	
BRCA1	c61g_eto	O95071	10.33333333	3.06127005	3.841344851	1.558362353	UBR5	
BRCA1	c61g_eto	P40692	10	14.60426083	3.497366682	1.551728631	MLH1	
BRCA1	c61g_eto	Q5T4S7	9.333333333	2.869282263	2.621864744	1.573103505	UBR4	
BRCA1	c61g_eto	Q15643	9	2.646496572	7.095289805	1.493709546	TRIP11	
BRCA1	c61g_eto	Q9Y4B6	8.666666667	3.64679021	2.227891917	1.559879176	VPRBP	
BRCA1	c61g_eto	Q9BX63	8.333333333	Inf	NA	1.482074801	BRIP1	
BRCA1	c61g_eto	Q9UJX2	6.666666667	3.478957022	3.545398965	1.572237856	CDC23	
